sampleID	Occurence_Microstates_A	Occurence_Microstates_B	Occurence_Microstates_C	Occurence_Microstates_D	Occurence_Microstates_E	Occurence_Microstates_F	Occurence_Microstates_G	Duration_Microstates_A	Duration_Microstates_B	Duration_Microstates_C	Duration_Microstates_D	Duration_Microstates_E	Duration_Microstates_F	Duration_Microstates_G
LCC2018_52	2.683333333	1.991666667	2.108333333	1.15	2.333333333	1.85	1.408333333	81.19254658	75.43096234	73.99209486	64.84057971	75.24285714	73.26126126	64.07100592
LCC2020_52	1.115384615	1.607692308	3.176923077	1.446153846	2.123076923	2.630769231	1.038461538	60.57931034	70.71770335	86.94430993	72.08510638	71.28985507	84.70175439	61.71851852
LCC2021_0	2.462686567	1.843283582	2.567164179	1.649253731	1.850746269	1.753731343	1.328358209	78.90909091	71.15789474	81.98837209	70.73303167	71.35483871	69.07234043	70.8988764
LCC2022_52	2.191176471	2.397058824	2.463235294	1.566176471	1.522058824	2.132352941	1.308823529	76.01342282	78.39263804	77.30149254	73.95305164	69.00483092	70.8	63.64044944
LCC2023_52	2.192307692	2.815384615	1.776923077	1.238461538	1.646153846	1.730769231	1.915384615	77.20701754	85.07103825	67.58441558	74.93167702	69.60747664	70.84444444	73.68674699
LCC2024_52	2.18115942	2.108695652	2.101449275	1.18115942	2.398550725	1.876811594	1.471014493	79.26910299	78.95532646	71.94482759	71.38650307	79.28700906	71.01158301	69.10344828
LCC2025_0	1.637931034	1.474137931	2.051724138	1.293103448	1.905172414	1.706896552	1.551724138	84.84210526	89.52046784	86.38655462	86.0	85.55656109	85.45454545	84.91111111
LCC2025_52	2.484615385	2.076923077	2.146153846	1.184615385	1.907692308	1.684615385	1.6	82.01857585	79.34814815	81.46236559	71.74025974	75.98387097	68.0	70.05769231
LCC2026_0	2.214285714	2.03968254	2.515873016	1.404761905	2.198412698	1.841269841	1.444444444	70.3655914	76.91828794	74.70031546	67.41242938	76.4765343	75.56896552	67.42857143
LCC2026_52	1.867924528	2.066037736	2.198113208	1.566037736	2.20754717	2.08490566	1.433962264	79.33333333	78.95890411	78.52360515	70.14457831	75.33333333	71.00452489	64.07894737
LCC2027_0	1.634920635	2.571428571	2.150793651	1.396825397	1.682539683	1.412698413	1.857142857	81.82524272	83.55555556	81.59409594	71.15909091	71.75471698	76.2247191	79.72649573
LCC2027_52	2.074074074	2.62037037	1.972222222	1.101851852	2.342592593	2.287037037	1.527777778	72.08928571	79.81625442	70.27230047	61.8487395	69.10671937	72.90688259	69.35757576
LCC2028_52	2.103174603	2.547619048	1.976190476	1.452380952	1.531746032	1.976190476	1.095238095	82.62641509	86.82866044	76.72289157	73.1147541	71.95854922	84.61044177	63.71014493
LCC2029_0	2.262295082	1.81147541	2.516393443	1.663934426	2.155737705	1.893442623	1.770491803	73.20289855	68.18099548	74.68403909	68.09852217	72.121673	70.78787879	67.85185185
LCC2029_52	1.932835821	2.313432836	2.485074627	1.574626866	1.970149254	2.067164179	1.335820896	70.48648649	79.32903226	78.43843844	71.48815166	71.10606061	69.47292419	66.65921788
LCC2030_0	2.415254237	1.957627119	2.372881356	1.525423729	1.796610169	2.0	1.313559322	78.86315789	71.06493506	80.94285714	75.64444444	70.96226415	70.3220339	72.18064516
LCC2030_52	2.479166667	2.520833333	1.944444444	1.3125	2.194444444	2.222222222	1.513888889	74.85714286	73.60881543	70.8	62.56084656	72.44303797	70.3125	62.0
LCC2032_52	2.198113208	2.471698113	2.047169811	1.08490566	2.226415094	2.103773585	1.301886792	69.64806867	80.91603053	70.41474654	69.53043478	81.03389831	75.58744395	67.50724638
LCC2033_52	2.186567164	2.134328358	2.507462687	1.5	2.358208955	1.880597015	1.5	69.33788396	73.69230769	74.07142857	66.66666667	79.46835443	66.44444444	62.00995025
LCC2034_52	2.183333333	2.216666667	2.258333333	1.458333333	2.266666667	2.033333333	1.566666667	73.95419847	71.7443609	75.29151292	70.69714286	70.19117647	72.18032787	64.14893617
LCC2036_0	1.720588235	1.941176471	2.058823529	2.0	1.926470588	1.764705882	1.529411765	83.93162393	77.84848485	84.4	76.79411765	69.58778626	73.83333333	73.73076923
LCC2036_52	1.866666667	2.166666667	1.625	2.016666667	2.35	2.2	1.508333333	71.10714286	73.18461538	70.15384615	74.51239669	73.06382979	76.54545455	69.17127072
LCC2037_52	2.323529412	2.183823529	2.448529412	1.272058824	2.125	2.014705882	1.580882353	69.62025316	72.88888889	76.62462462	67.30635838	74.44982699	71.25547445	65.82325581
LCC2038_0	1.89516129	1.975806452	2.241935484	1.314516129	1.758064516	1.532258065	1.5	85.19148936	79.24897959	91.94244604	80.85889571	78.53211009	74.14736842	78.58064516
